3 460 1 6 12500 1000 40 40
4459.9 1664.69
1421.74 2906.72
2057.97 2566.3
2098.85 2482.21
1409.41 2000.0 10
1366.51 2000.84 24
1371.03 2002.27 3
1353.53 2000.05 24
1379.65 2006.85 8
1380.02 2008.79 0
1415.56 2024.94 21
1420.19 2031.86 19
1446.86 2052.08 10
1406.49 2034.21 11
1446.58 2068.71 9
1392.6 2033.01 10
1423.32 2066.8 21
1402.02 2052.79 23
1404.4 2062.94 6
1373.65 2028.63 0
1417.52 2103.57 20
1400.51 2088.19 12
1361.12 2017.22 7
1378.19 2065.27 14
1391.7 2123.61 24
1354.76 2006.2 17
1360.1 2038.77 22
1363.93 2095.71 2
1353.5 2005.11 2
1351.72 2097.06 1
1347.35 2074.31 19
1339.72 2094.15 5
1338.59 2070.09 8
1320.72 2117.71 14
1338.53 2042.56 1
1324.41 2068.88 10
1350.33 2005.91 24
1317.29 2062.31 7
1323.06 2045.39 24
1275.86 2101.71 11
1272.76 2092.9 1
1340.65 2012.81 15
1349.23 2003.61 16
1340.93 2009.7 5
1332.62 2014.21 20
1272.26 2048.49 17
1290.4 2032.4 21
1289.55 2027.88 14
1296.51 2020.65 20
1352.42 2000.25 23
1303.49 2011.24 22
1225.03 2020.52 0
1247.1 2010.14 0
1278.82 2002.36 9
1327.73 1999.19 18
1234.14 1988.63 20
1298.81 1991.29 5
1274.72 1982.26 24
1327.92 1992.56 24
1313.18 1985.41 7
1312.18 1982.02 5
1307.65 1976.48 14
1350.78 1998.52 1
1282.55 1951.32 17
1335.89 1986.34 1
1294.81 1947.71 21
1296.76 1942.6 21
1293.85 1931.43 23
1330.28 1969.8 10
1332.23 1968.39 11
1304.15 1914.94 4
1330.85 1954.78 3
1345.6 1981.72 16
1314.77 1888.79 16
1352.81 1998.36 0
1329.66 1887.2 16
1347.85 1962.39 18
1349.33 1950.52 18
1351.24 1872.82 11
1355.96 1943.3 23
1363.57 1907.51 0
1362.57 1947.2 13
1381.26 1884.59 5
1381.03 1910.68 16
1375.56 1941.63 1
1357.81 1990.04 20
1375.58 1958.33 17
1386.89 1945.81 18
1374.66 1969.94 2
1397.08 1946.06 4
1371.75 1979.98 8
1399.77 1955.65 12
1405.84 1955.88 16
1423.75 1948.1 10
1434.77 1947.61 22
1436.18 1953.86 16
1403.04 1976.3 4
1408.29 1977.97 17
1461.15 1964.57 21
1398.91 1988.16 17
1447.47 1981.84 24
1481.45 1983.64 8
1473.24 1992.37 7
1424.66 2000.0 0
1015.99 2485.43 16
1010.72 2486.19 9
1020.98 2488.42 1
1069.99 2500.48 15
1063.87 2503.97 23
1076.12 2513.48 24
1076.46 2519.91 23
1080.48 2528.79 11
1025.21 2501.41 20
1043.14 2517.24 10
1008.89 2493.01 16
1079.08 2563.13 16
1003.16 2489.01 12
1064.8 2570.14 4
1010.22 2500.96 12
1005.55 2495.32 12
1048.65 2588.43 19
1011.7 2515.55 16
1011.14 2521.43 24
1008.91 2523.59 2
1006.13 2523.68 7
1010.15 2600.13 18
1001.18 2552.19 1
997.72 2528.5 3
997.87 2502.6 13
985.71 2558.11 18
982.86 2548.66 20
980.2 2542.25 1
954.79 2590.63 18
960.68 2561.61 2
989.35 2502.92 23
954.04 2550.12 3
955.88 2539.07 20
976.52 2510.19 17
925.41 2553.72 22
957.82 2518.9 11
914.24 2544.12 7
949.98 2514.71 1
982.4 2494.13 11
967.06 2498.91 0
927.53 2509.27 16
974.2 2491.94 21
906.39 2502.13 11
985.02 2487.03 8
924.27 2488.11 20
918.26 2482.55 8
922.85 2477.23 24
988.53 2483.39 14
963.75 2476.29 12
993.12 2483.17 19
904.59 2446.41 4
928.48 2450.1 9
996.61 2483.45 18
907.08 2421.85 5
972.02 2463.24 20
912.73 2405.55 23
995.27 2480.45 9
954.12 2429.65 10
968.6 2441.24 17
952.32 2407.16 9
953.28 2394.94 0
987.24 2455.75 13
962.05 2376.55 12
974.61 2391.77 7
994.26 2456.22 4
986.55 2377.13 10
996.72 2423.47 8
1001.1 2422.97 24
1007.77 2397.61 20
1016.75 2380.89 12
1017.6 2410.08 17
1003.63 2473.69 20
1031.13 2405.32 0
1023.36 2435.96 21
1023.33 2443.91 22
1021.38 2452.98 7
1034.63 2440.17 0
1068.89 2407.46 23
1080.62 2406.22 24
1025.79 2463.45 1
1081.59 2425.27 21
1049.92 2453.8 19
1028.42 2470.12 15
1027.84 2472.88 11
1072.54 2458.71 22
1046.72 2471.88 9
1097.81 2464.4 17
1051.73 2478.08 19
1100.19 2478.35 7
1065.01 2485.43 13
908.21 2000.0 4
885.37 2002.99 9
926.77 2012.66 13
944.15 2023.42 13
912.23 2021.2 0
853.52 2002.38 24
933.72 2044.4 15
849.53 2001.04 4
907.86 2044.33 23
922.56 2064.97 10
859.97 2012.37 24
885.1 2044.59 21
892.68 2063.28 6
857.72 2016.59 23
859.76 2024.2 12
850.55 2006.81 15
852.99 2016.72 14
850.67 2012.69 10
852.29 2031.66 11
852.77 2082.42 3
846.33 2076.29 21
839.52 2083.47 17
834.93 2071.4 8
825.52 2084.46 2
842.42 2015.46 11
823.12 2055.74 24
846.72 2002.07 4
818.36 2045.34 21
791.25 2073.51 0
812.98 2038.52 24
824.18 2022.3 13
824.28 2018.9 7
812.04 2024.32 1
760.47 2049.68 2
750.77 2045.4 21
770.74 2028.84 2
743.41 2029.85 14
765.66 2016.56 10
816.81 2003.72 7
800.03 2001.9 12
768.37 1996.84 11
770.38 1990.71 22
774.73 1985.27 7
796.25 1985.25 17
833.1 1994.48 21
752.23 1955.28 7
826.8 1988.03 12
758.72 1939.48 12
836.92 1991.23 21
769.36 1926.06 9
820.08 1969.33 7
793.43 1929.32 2
847.41 1999.33 15
824.51 1956.97 22
836.74 1974.97 13
822.51 1927.93 4
829.21 1929.49 8
838.81 1950.0 20
840.13 1922.65 9
845.71 1892.41 19
848.46 1989.76 8
856.44 1938.7 5
863.98 1927.42 22
868.32 1933.42 12
858.49 1973.19 3
890.35 1913.65 24
861.66 1976.79 20
901.58 1924.16 2
881.05 1960.26 11
858.87 1988.76 23
916.25 1940.51 23
854.77 1994.89 18
922.09 1953.79 18
906.48 1969.69 0
936.76 1962.65 7
931.77 1972.36 21
890.81 1989.55 0
862.53 1997.64 14
877.04 1997.67 19
848.0 2000.0 3
1049.98 1405.64 5
1025.82 1407.46 21
1054.38 1413.37 14
1110.92 1429.49 20
1060.22 1423.11 23
1068.19 1430.76 13
1073.55 1438.8 12
1082.72 1450.2 18
1079.3 1455.88 2
1042.21 1436.76 6
1048.09 1446.64 6
1038.55 1443.51 19
1066.32 1480.7 13
1068.31 1494.93 22
1037.25 1462.19 7
1012.29 1427.52 13
1004.36 1414.86 7
1037.21 1501.4 0
1022.91 1479.69 12
1023.73 1507.24 8
1018.23 1519.45 4
1006.44 1478.44 10
1001.51 1491.29 21
998.42 1435.44 4
992.75 1463.99 21
978.99 1512.47 12
985.61 1458.72 0
980.65 1461.17 3
984.94 1440.67 13
954.03 1494.68 21
956.48 1477.08 4
953.0 1471.79 2
948.58 1468.15 5
994.36 1411.58 17
934.73 1465.39 7
923.06 1466.68 9
909.29 1467.7 6
991.98 1410.33 13
945.23 1432.7 0
983.9 1412.22 1
973.79 1414.25 7
989.23 1408.35 0
936.52 1416.96 3
893.42 1416.96 23
981.66 1406.28 19
939.77 1403.51 14
925.76 1397.74 5
887.81 1385.63 22
927.64 1387.38 12
930.93 1382.92 11
982.99 1398.68 1
958.48 1385.12 15
954.91 1379.25 21
956.48 1375.86 3
951.96 1367.53 6
967.63 1376.0 14
941.78 1344.25 15
939.65 1332.27 24
984.34 1383.6 14
985.77 1382.27 11
946.13 1301.27 5
998.71 1402.64 22
978.99 1345.34 15
997.98 1398.19 23
997.52 1393.03 16
991.14 1334.27 2
998.75 1382.14 1
1001.35 1329.39 6
1006.34 1334.02 18
1018.3 1291.42 18
1020.53 1317.74 21
1027.76 1315.9 12
1004.04 1395.24 23
1027.98 1346.4 17
1021.87 1366.7 4
1026.83 1364.9 7
1069.44 1314.86 10
1009.16 1395.27 3
1055.56 1351.04 17
1078.75 1338.49 10
1010.79 1397.68 2
1071.73 1360.18 19
1023.24 1393.12 1
1034.78 1389.95 21
1094.55 1370.8 20
1004.79 1404.25 14
1093.49 1385.53 21
1097.78 1391.74 14
1042.08 1402.66 18
1074.66 1405.64 12
1455.44 2000.0 4
1392.73 2000.66 17
