4 520 3 4 3500 1000 40 70
3944.0 1526.43
1951.32 2308.22
1959.65 1718.81
1984.8 1314.31
2042.75 1406.13
1816.66 2000.0 10
1847.49 2006.35 24
1786.23 2004.05 3
1758.89 2000.25 24
1767.31 2002.78 8
1814.62 2020.96 0
1811.65 2024.31 21
1825.2 2036.35 19
1816.01 2036.93 10
1764.95 2005.32 11
1793.92 2030.85 9
1790.8 2032.49 10
1784.64 2030.45 21
1796.15 2050.22 23
1792.91 2053.4 6
1789.39 2056.35 0
1794.53 2077.91 20
1775.54 2045.81 12
1779.04 2068.87 7
1758.71 2004.17 14
1765.59 2049.01 24
1767.41 2109.31 17
1759.62 2106.95 22
1752.3 2102.52 2
1752.88 2039.09 2
1755.74 2010.15 1
1746.98 2039.69 19
1757.5 2000.69 5
1755.32 2005.62 8
1705.14 2101.88 14
1708.92 2080.13 1
1720.22 2052.8 10
1681.68 2092.47 24
1684.34 2077.38 7
1750.41 2006.71 24
1736.99 2016.46 11
1673.45 2057.68 1
1666.17 2053.58 15
1705.97 2025.58 16
1732.5 2010.32 5
1670.22 2028.78 20
1750.66 2001.78 17
1737.76 2003.56 21
1721.6 2003.84 14
1753.28 2000.16 20
1638.01 1995.77 23
1681.88 1991.94 22
1707.49 1991.04 0
1708.1 1987.48 0
1698.06 1980.38 9
1675.55 1966.38 18
1668.77 1956.05 20
1711.8 1973.12 5
1709.28 1966.85 24
1730.66 1978.52 24
1755.29 1997.76 7
1749.23 1991.03 5
1722.6 1957.29 14
1731.51 1963.09 1
1719.15 1936.66 17
1708.81 1905.23 1
1724.43 1922.51 21
1756.0 1995.01 21
1752.84 1981.93 23
1754.92 1985.68 10
1747.21 1915.2 11
1755.35 1955.06 4
1758.93 1932.35 3
1767.58 1888.76 16
1772.23 1909.54 16
1770.59 1944.95 0
1759.3 1994.94 16
1780.01 1942.68 18
1791.88 1927.71 18
1762.95 1990.71 11
1774.61 1974.37 23
1768.99 1985.29 0
1801.07 1950.95 13
1839.69 1919.48 5
1808.07 1957.09 16
1826.63 1949.2 1
1834.83 1951.15 20
1791.19 1981.98 17
1765.8 1996.37 18
1817.3 1978.06 2
1773.09 1995.54 4
1768.25 1997.74 8
1778.72 1997.02 12
1829.15 1994.95 16
1824.24 2000.0 10
1011.45 2335.8 22
1040.72 2337.95 16
1020.17 2337.94 4
1092.14 2350.52 17
1131.31 2363.95 21
1021.25 2341.55 17
1003.76 2337.04 24
1096.78 2373.29 8
1045.23 2356.13 7
1062.99 2368.21 0
1007.38 2340.11 16
1020.81 2349.46 9
1078.47 2393.45 1
1065.54 2389.5 15
1088.29 2416.29 23
1094.69 2431.75 24
1033.42 2373.45 23
1054.14 2403.69 11
1036.44 2386.8 20
1038.05 2395.49 10
1026.99 2383.51 16
1060.99 2458.29 16
1034.74 2415.9 12
1006.93 2354.42 4
1029.2 2429.02 12
1033.56 2466.78 12
1024.64 2458.63 19
1011.3 2413.1 16
1000.19 2337.85 24
1004.46 2448.49 2
998.28 2466.25 7
993.22 2438.33 18
992.88 2395.43 1
990.9 2388.34 3
976.8 2437.43 13
995.87 2350.32 18
964.4 2439.73 20
973.92 2400.58 1
995.86 2344.7 18
945.93 2437.56 2
971.75 2382.8 23
991.63 2348.19 3
985.34 2355.22 20
922.52 2427.86 17
983.47 2353.46 22
920.84 2411.89 11
914.83 2409.42 7
990.43 2343.23 1
949.94 2370.58 11
906.3 2393.82 0
939.84 2368.79 16
890.76 2388.41 21
950.95 2356.31 11
917.17 2365.4 8
971.36 2344.36 20
885.4 2363.56 8
884.49 2357.39 24
921.47 2346.23 14
954.91 2339.38 12
951.36 2337.09 19
916.77 2333.6 4
982.08 2334.38 9
929.16 2326.4 18
959.34 2328.2 5
953.52 2324.55 20
956.83 2322.9 23
889.98 2296.49 9
977.33 2326.32 10
970.18 2321.44 17
979.81 2324.73 9
998.2 2334.69 0
951.07 2301.8 13
906.66 2263.36 12
904.39 2253.15 7
950.81 2288.52 4
959.68 2292.73 10
921.74 2242.81 8
955.41 2276.76 24
957.01 2272.15 20
953.17 2257.89 12
994.77 2325.96 17
950.47 2229.37 20
994.47 2322.07 0
975.85 2265.3 21
964.52 2211.11 22
982.91 2260.91 7
991.82 2288.6 0
987.94 2234.79 23
991.68 2209.93 24
998.86 2249.54 1
1000.31 2327.98 21
1011.35 2213.29 19
1000.36 2333.31 15
1018.68 2242.7 11
1031.27 2213.74 22
1006.59 2314.77 9
1025.8 2266.51 17
1039.27 2245.24 19
1010.95 2313.81 7
1016.9 2305.92 13
1005.01 2327.94 4
1012.94 2317.69 9
1010.31 2322.87 13
1027.01 2305.37 13
1073.81 2261.01 0
1071.77 2270.38 24
1082.59 2268.14 15
1074.43 2281.12 4
1092.96 2274.79 23
1018.01 2325.3 10
1069.01 2300.3 24
1002.74 2334.57 21
1064.18 2310.94 6
1112.2 2299.02 23
1063.83 2318.55 12
1040.46 2327.13 15
1037.97 2329.74 14
1054.79 2329.99 10
1127.76 2329.05 11
1136.4 2335.8 3
484.04 2000.0 21
419.85 2003.35 17
388.45 2002.73 8
412.37 2008.73 2
382.73 2004.06 11
400.41 2010.95 24
446.59 2031.83 4
425.05 2027.6 21
444.75 2043.21 0
378.44 2007.3 24
463.22 2070.78 13
407.2 2033.66 7
423.92 2054.2 1
367.75 2000.73 2
407.14 2049.31 21
438.27 2099.97 2
399.07 2051.55 14
375.19 2015.13 10
384.3 2037.7 7
373.46 2016.69 12
392.97 2083.25 11
393.25 2107.87 22
368.11 2005.85 7
367.39 2002.79 17
368.48 2029.42 21
366.66 2026.69 7
367.04 2000.55 12
360.74 2044.11 12
362.78 2020.56 21
339.03 2101.45 9
349.11 2051.91 7
355.18 2028.4 2
313.78 2107.55 15
348.19 2032.73 22
296.91 2105.47 13
356.27 2014.2 4
297.02 2080.86 8
295.88 2072.34 20
306.4 2054.29 9
320.02 2037.01 19
324.22 2029.51 8
259.48 2064.42 5
293.27 2038.05 22
258.36 2047.58 12
300.75 2024.14 3
315.13 2015.26 24
339.73 2006.18 20
308.32 2009.4 2
244.73 2011.68 11
299.19 2002.16 23
288.39 1997.5 23
280.07 1991.69 18
266.56 1983.92 18
267.87 1977.59 0
312.57 1983.99 7
302.74 1976.58 21
313.44 1976.53 0
270.63 1950.28 14
262.59 1937.44 19
306.66 1958.4 3
345.71 1983.19 5
358.84 1992.63 21
289.01 1920.68 14
312.09 1936.53 20
298.63 1910.05 23
297.91 1896.04 13
327.49 1931.43 12
325.87 1916.84 18
354.59 1970.17 2
346.25 1939.8 6
335.65 1886.31 6
354.88 1941.67 19
358.01 1936.94 13
363.81 1958.82 22
365.36 1891.45 7
371.39 1909.48 13
376.82 1912.63 7
382.31 1913.64 0
369.17 1991.37 12
395.54 1908.46 8
405.05 1900.6 4
416.54 1891.69 10
371.83 1991.13 21
401.97 1943.76 4
378.01 1984.65 21
385.92 1976.8 12
375.24 1991.16 0
417.63 1951.8 3
456.02 1925.37 13
383.09 1988.21 21
422.01 1964.7 4
437.76 1960.67 2
478.55 1946.94 5
442.14 1969.95 17
441.92 1975.42 7
386.35 1995.0 9
416.35 1990.5 6
423.22 1992.84 13
424.09 1996.38 0
433.51 2000.0 1
1080.71 1530.16 7
1089.73 1536.5 0
1028.33 1534.18 3
1011.76 1532.69 23
1037.93 1541.16 19
1014.14 1535.36 14
1045.56 1550.7 5
1080.41 1573.48 22
1028.49 1548.21 12
1082.66 1591.11 11
1041.37 1565.42 1
1013.86 1543.77 15
1051.03 1587.92 21
1031.97 1571.95 3
1021.8 1563.25 6
1030.35 1584.18 14
1050.79 1637.69 15
1032.68 1614.26 24
1010.41 1563.81 14
1025.31 1638.53 11
1003.5 1551.98 5
1004.32 1578.94 22
1000.79 1574.86 15
993.74 1648.27 23
999.93 1530.69 16
984.97 1606.6 2
984.03 1589.07 1
993.84 1547.83 6
969.59 1600.9 18
955.53 1616.3 18
952.12 1608.76 21
994.6 1537.75 12
939.39 1603.84 23
971.44 1560.27 17
924.53 1599.24 4
947.16 1572.08 7
992.08 1535.57 10
922.87 1575.3 3
939.37 1560.11 17
949.86 1550.67 10
927.22 1554.09 2
948.37 1543.18 19
995.64 1530.93 1
891.09 1541.73 21
965.48 1531.38 20
966.5 1528.97 14
994.07 1529.53 21
915.25 1515.04 14
894.18 1503.46 18
947.23 1512.8 12
909.58 1493.17 4
964.62 1512.68 17
960.15 1506.84 3
971.11 1510.39 2
972.27 1508.16 12
950.32 1484.68 17
973.08 1501.78 10
994.98 1524.06 4
952.02 1462.63 21
980.73 1498.53 8
978.41 1488.33 19
991.17 1509.62 1
998.05 1524.56 18
979.46 1454.38 6
990.2 1480.32 5
986.21 1419.12 23
999.88 1527.89 17
1001.75 1431.18 11
1000.2 1527.94 3
1003.28 1509.66 10
1000.38 1528.54 19
1018.07 1471.76 21
1015.37 1490.59 16
1016.31 1495.61 7
1057.27 1428.21 2
1038.15 1472.23 12
1067.54 1441.87 6
1070.63 1450.21 16
1029.07 1501.6 1
1059.68 1479.28 0
1018.84 1516.27 4
1037.05 1506.68 22
1072.34 1491.18 14
1062.23 1502.1 5
1009.57 1526.63 6
1009.01 1527.54 10
1090.45 1510.71 4
1083.29 1518.32 23
1077.64 1524.67 13
1026.5 1530.16 0
1550.12 2000.0 20
1542.69 2000.66 18
1552.95 2002.41 10
1654.16 2019.79 24
1566.11 2007.69 12
1603.78 2019.87 12
1659.54 2042.39 8
1652.68 2047.43 11
1601.15 2031.87 18
1592.95 2032.26 15
1571.28 2023.93 24
1532.86 2001.71 24
1585.02 2040.23 4
