5 730 1 4 12500 1000 40 40
4558.67 1512.25
1866.64 1501.07
1889.47 2456.99
2170.12 2266.14
1098.1 3195.98
1752.81 2934.49
1415.21 2000.0 10
1349.19 2001.83 24
1419.5 2013.67 3
1329.71 2001.38 24
1366.38 2012.5 8
1431.71 2039.94 0
1406.38 2037.45 21
1367.32 2023.71 19
1345.09 2013.8 10
1363.43 2029.59 11
1362.18 2033.14 9
1405.77 2081.02 10
1339.6 2018.44 21
1382.43 2077.28 23
1377.14 2081.73 6
1339.85 2029.45 0
1366.35 2091.14 20
1365.53 2108.65 12
1339.93 2053.74 7
1332.68 2040.14 14
1332.19 2055.44 24
1329.13 2065.81 17
1324.56 2071.16 22
1320.05 2061.46 2
1310.78 2100.87 2
1315.66 2038.87 1
1292.12 2115.02 19
1302.71 2059.09 5
1319.43 2009.03 8
1312.08 2021.75 14
1288.76 2056.71 1
1266.5 2079.95 10
1308.1 2018.49 24
1243.51 2084.14 7
1313.81 2008.69 24
1231.99 2072.45 11
1304.4 2012.93 1
1261.43 2036.21 15
1243.03 2039.66 16
1300.85 2009.19 5
1277.34 2015.12 20
1310.9 2003.13 17
1221.89 2018.09 21
1262.46 2006.47 14
1241.74 2002.88 20
1261.71 1997.82 23
1211.97 1988.17 22
1254.36 1987.7 0
1271.18 1986.85 0
1235.34 1971.08 9
1251.34 1970.56 18
1271.55 1974.43 20
1315.72 1995.56 5
1225.45 1933.04 24
1314.93 1993.36 24
1285.93 1965.79 7
1257.68 1930.81 5
1305.6 1978.48 14
1300.48 1967.87 1
1313.69 1984.22 17
1316.53 1986.87 1
1293.12 1929.77 21
1312.53 1969.07 21
1320.61 1990.05 23
1301.8 1890.62 10
1319.17 1966.7 11
1320.18 1941.04 4
1324.62 1925.57 3
1330.11 1923.07 16
1330.35 1956.05 16
1339.14 1932.22 0
1352.65 1905.15 16
1346.13 1941.26 18
1338.77 1967.26 18
1337.65 1974.47 11
1344.76 1967.43 23
1358.22 1954.36 0
1393.14 1920.95 13
1373.05 1951.13 5
1390.43 1942.77 16
1381.65 1956.98 1
1355.94 1979.32 20
1425.36 1945.02 17
1331.85 1996.15 18
1366.62 1984.04 2
1359.61 1989.47 4
1350.65 1994.12 8
1328.41 1999.27 12
1374.16 1996.4 16
1442.0 2000.0 10
1546.31 2552.02 22
1453.8 2552.98 16
1525.48 2564.14 4
1553.68 2576.42 17
1483.32 2564.53 21
1511.72 2578.36 17
1469.74 2565.33 24
1440.85 2552.36 8
1504.5 2592.75 7
1464.02 2569.57 0
1467.8 2575.53 16
1464.8 2576.17 9
1510.77 2631.87 1
1486.73 2612.81 15
1448.77 2564.99 23
1481.84 2626.11 24
1486.47 2649.94 23
1478.12 2649.55 11
1470.95 2651.36 20
1452.81 2605.91 10
1449.25 2608.4 16
1447.18 2630.71 16
1441.97 2651.1 12
1435.66 2638.18 4
1433.41 2606.83 12
1419.7 2656.38 12
1426.71 2601.85 19
1417.46 2617.33 16
1402.03 2640.88 24
1400.75 2628.49 2
1379.49 2651.71 7
1392.48 2619.21 18
1416.63 2580.7 1
1367.32 2628.89 3
1368.76 2617.44 13
1367.91 2609.39 18
1396.47 2581.96 20
1412.25 2568.39 1
1432.18 2555.99 18
1377.54 2577.66 2
1367.14 2576.05 23
1355.21 2573.46 3
1343.81 2569.22 20
1402.08 2556.07 17
1324.83 2556.1 22
1383.04 2550.0 11
1425.35 2550.44 7
1376.31 2540.62 1
1415.16 2545.7 11
1331.73 2516.35 0
1433.74 2549.37 16
1380.56 2522.54 21
1406.68 2532.39 11
1390.74 2518.16 8
1423.38 2538.66 20
1420.12 2533.62 8
1384.46 2493.23 24
1390.95 2492.12 14
1434.67 2544.21 12
1386.05 2463.09 19
1408.79 2491.13 4
1433.57 2536.54 9
1427.94 2516.78 18
1418.65 2472.47 5
1423.66 2467.77 20
1437.72 2531.84 23
1434.31 2440.4 9
1441.37 2486.81 10
1449.53 2446.8 17
1448.93 2497.69 9
1454.3 2491.74 0
1451.77 2514.71 13
1470.55 2473.98 12
1477.12 2473.9 7
1491.18 2461.3 4
1468.79 2508.65 10
1450.24 2538.92 8
1467.2 2521.49 24
1470.52 2522.26 20
1458.15 2536.74 12
1467.11 2532.19 17
1476.34 2529.13 20
1543.31 2496.48 0
1462.9 2541.8 21
1517.0 2523.73 22
1456.34 2547.34 7
1472.64 2545.05 0
1547.91 2536.71 23
1551.33 2544.16 24
1506.58 2552.02 1
1014.47 2231.32 21
1010.53 2235.8 19
1034.05 2243.66 15
1009.12 2244.63 11
958.82 2234.69 22
1023.56 2259.45 9
1030.3 2268.78 17
1012.71 2266.61 19
1037.66 2288.63 7
1016.12 2282.14 13
982.3 2261.24 4
985.59 2269.03 9
962.96 2249.15 13
989.48 2286.58 13
949.91 2235.43 0
977.08 2284.5 24
993.04 2328.37 15
972.8 2297.18 4
