9 780 4 3 3500 1000 40 70
4069.1 1737.36
1627.59 1221.46
1311.9 2950.11
1891.15 1546.3
1226.85 1026.07
1488.12 3096.24
1812.29 1116.71
2132.74 1603.91
2175.08 2243.3
2195.36 1894.61
1249.83 2000.0 10
1224.55 2000.43 24
1297.02 2012.5 3
1316.31 2023.64 24
1267.47 2015.93 8
1301.67 2034.68 0
1251.23 2016.61 21
1255.03 2022.36 19
1244.91 2019.07 10
1243.58 2021.29 11
1262.32 2044.09 9
1242.09 2027.52 10
1223.28 2005.91 21
1257.93 2065.25 23
1234.09 2030.46 6
1235.02 2040.11 0
1225.12 2019.59 20
1220.28 2005.3 12
1229.09 2071.28 7
1221.88 2046.47 14
1217.06 2102.54 24
1218.89 2002.07 17
1202.95 2089.29 22
1218.58 2001.97 2
1212.79 2017.95 2
1218.48 2001.39 1
1192.38 2049.25 19
1197.89 2032.62 5
1197.74 2027.75 8
1147.17 2079.46 14
1172.82 2043.6 1
1139.61 2063.76 10
1138.2 2054.93 24
1186.63 2018.46 7
1153.98 2030.45 24
1199.0 2007.52 11
1180.44 2011.05 1
1145.26 2014.88 15
1156.98 2007.45 16
1209.76 2000.37 5
1210.51 1999.66 20
1134.89 1989.91 17
1143.5 1984.77 21
1150.5 1980.4 14
1196.35 1991.49 20
1141.0 1963.48 23
1163.93 1968.63 22
1205.71 1990.91 0
1204.84 1988.56 0
1169.4 1953.17 9
1146.88 1920.22 18
1179.77 1948.92 20
1201.4 1972.78 5
1181.54 1930.76 24
1210.04 1979.57 24
1195.7 1933.44 7
1207.46 1955.98 5
1218.5 1996.67 14
1213.46 1943.48 1
1217.99 1944.18 17
1225.08 1899.87 1
1229.95 1922.56 21
1226.35 1967.37 21
1239.95 1932.17 23
1229.24 1974.44 10
1250.87 1935.44 11
1252.94 1943.15 4
1258.18 1944.85 3
1230.46 1986.4 16
1273.83 1944.17 16
1263.73 1961.18 0
1284.78 1951.48 16
1223.27 1997.4 18
1290.72 1962.97 18
1315.47 1959.52 11
1280.29 1979.85 23
1234.08 1996.36 0
1319.43 1983.9 13
1280.03 1995.14 5
1249.62 2000.0 16
1566.86 2470.6 1
1477.77 2471.17 20
1552.67 2483.77 17
1521.19 2482.91 18
1485.41 2475.48 2
1521.03 2491.78 4
1553.33 2513.38 8
1537.46 2512.21 12
1509.3 2499.19 16
1531.51 2523.57 10
1489.54 2489.92 22
1478.64 2480.23 16
1474.24 2475.73 4
1482.2 2490.08 17
1516.74 2564.36 21
1500.87 2546.87 17
1497.32 2557.51 24
1488.97 2553.24 8
1473.39 2490.54 7
1474.64 2538.28 0
1468.98 2552.12 16
1464.21 2534.67 9
1463.95 2507.37 1
1455.98 2525.9 15
1441.22 2554.18 23
