7 990 2 6 12500 1000 40 70
4439.23 1731.81
1974.3 2225.25
1920.86 1610.1
1546.24 1162.37
1576.37 2817.19
2127.12 1588.19
1892.21 1197.52
2024.27 2625.2
1319.43 2000.0 10
1382.74 2006.57 24
1407.35 2016.71 3
1307.56 2003.82 24
1296.85 2002.04 8
1364.28 2027.44 0
1396.85 2048.26 21
1391.57 2054.83 19
1377.25 2055.41 10
1360.27 2051.96 11
1342.71 2045.1 9
1291.15 2001.31 10
1363.98 2083.95 21
1331.34 2054.29 23
1320.78 2047.02 6
1290.97 2002.08 0
1298.74 2018.9 20
1304.75 2038.46 12
1323.95 2110.37 7
1307.24 2074.63 14
1303.13 2083.17 24
1293.84 2045.62 17
1291.37 2088.68 22
1288.49 2024.96 2
1285.64 2033.55 2
1277.38 2063.22 1
1284.4 2019.96 19
1255.06 2099.71 5
1278.05 2027.35 8
1263.14 2051.67 14
1231.54 2095.66 1
1264.28 2035.92 10
1245.99 2053.27 24
1233.08 2059.82 7
1251.29 2035.26 24
1265.58 2019.22 11
1238.15 2035.35 1
1207.01 2048.46 15
1245.65 2021.82 16
1213.39 2031.26 5
1261.01 2009.47 20
1244.45 2011.44 17
1178.55 2019.84 21
1281.77 2000.85 14
1180.16 2003.87 20
1283.53 1999.78 23
1192.96 1989.71 22
1245.24 1992.05 0
1208.22 1979.42 0
1263.48 1991.34 9
1270.12 1991.95 18
1280.16 1995.23 20
1289.0 1999.53 5
1252.79 1974.67 24
1285.89 1996.89 24
1264.81 1977.12 7
1217.53 1923.79 5
1236.41 1935.08 14
1260.69 1959.02 1
1288.47 1997.8 17
1287.12 1994.79 1
1242.77 1890.56 21
1272.45 1950.19 21
1271.17 1931.26 23
1272.69 1912.91 10
1280.74 1927.0 11
1285.03 1909.9 4
1291.0 1932.72 3
1295.03 1940.94 16
1298.41 1946.27 16
1314.05 1896.22 0
1324.74 1887.1 16
1306.42 1957.25 18
1300.39 1977.59 18
1344.25 1903.09 11
1308.77 1971.2 23
1342.21 1931.51 0
1308.56 1978.77 13
1340.77 1949.93 5
1318.76 1975.32 16
1293.92 1996.97 1
1291.99 1998.62 20
1321.67 1982.83 17
1340.49 1977.15 18
1339.38 1981.74 2
1340.62 1985.26 4
1348.84 1987.31 8
1305.36 1997.79 12
1367.67 1994.49 16
1382.17 2000.0 10
1461.74 2289.59 22
1405.11 2293.41 16
1446.42 2302.52 4
1376.39 2295.62 17
1403.79 2304.81 21
1398.0 2306.96 17
1355.47 2293.74 24
1458.23 2343.43 8
1374.78 2306.09 7
1425.74 2341.4 0
1446.53 2364.26 16
1422.02 2354.11 9
1420.59 2361.55 1
1362.91 2308.84 15
1423.08 2385.54 23
1385.17 2345.83 24
1407.54 2390.19 23
1363.37 2323.64 11
1381.94 2370.2 20
1365.64 2343.28 10
1361.25 2341.47 16
1353.29 2323.25 16
1349.58 2314.87 12
1351.71 2348.68 4
1347.07 2330.35 12
1343.76 2375.92 12
1342.46 2323.09 19
1327.04 2415.35 16
1319.83 2410.5 24
1334.41 2328.35 2
