10 1160 2 4 12500 1000 40 70
4361.0 1669.74
1518.94 2854.81
1663.13 1251.5
1317.13 1051.62
1730.8 2682.6
1805.03 1406.76
1831.15 2865.56
1842.53 1145.52
2199.27 1958.02
1472.95 897.13
2198.91 2051.12
1111.86 2000.0 10
1158.79 2007.08 24
1172.29 2015.94 3
1068.91 2004.15 24
1154.43 2027.77 8
1120.71 2024.08 0
1120.02 2029.08 21
1147.39 2047.6 19
1153.2 2058.87 10
1071.41 2015.44 11
1128.58 2059.78 9
1140.04 2077.75 10
1099.71 2049.89 21
1106.61 2064.12 23
1116.01 2084.47 6
1062.18 2020.78 0
1086.41 2062.9 20
1105.29 2108.08 12
1070.65 2050.94 7
1073.58 2068.55 14
1085.76 2123.41 24
1069.23 2090.03 17
1068.99 2122.5 22
1059.45 2108.18 2
1052.4 2105.24 2
1047.11 2017.35 1
1042.25 2064.6 19
1038.99 2058.42 5
1040.91 2030.97 8
1021.59 2093.29 14
1040.29 2020.5 1
1017.5 2071.35 10
1034.08 2026.84 24
1028.4 2032.88 7
987.69 2089.73 24
1009.21 2050.17 11
1028.59 2021.69 1
972.95 2075.62 15
973.55 2066.06 16
1013.46 2026.68 5
993.45 2037.13 20
1040.9 2003.88 17
953.01 2048.66 21
1029.36 2007.89 14
958.37 2032.4 20
1012.26 2010.32 23
934.53 2025.49 22
920.19 2020.35 0
948.18 2009.47 0
955.39 2002.92 9
965.65 1997.41 18
1034.56 1998.78 20
1041.38 1999.04 5
927.29 1972.88 24
1017.49 1991.22 24
987.27 1978.12 7
1044.35 1998.67 5
951.0 1950.31 14
1039.33 1995.18 1
1043.43 1997.28 17
978.66 1945.95 1
1023.79 1978.89 21
974.31 1925.75 21
1028.07 1977.71 23
972.6 1901.74 10
975.72 1892.28 11
1004.43 1925.61 4
1042.83 1990.81 3
999.43 1885.52 16
1043.23 1987.99 16
1040.08 1973.58 0
1029.35 1913.82 16
1045.98 1990.24 18
1041.7 1928.46 18
1047.16 1985.73 11
1049.14 1963.14 23
1056.42 1919.01 0
1066.68 1890.57 13
1054.82 1969.35 5
1051.66 1986.25 16
1081.36 1911.06 1
1089.3 1908.23 20
1077.72 1943.38 17
1097.73 1918.85 18
1120.18 1897.78 2
1105.98 1927.87 4
1072.99 1972.28 8
1130.5 1920.75 12
1113.69 1944.37 16
1099.04 1961.97 10
1082.29 1977.57 22
1145.89 1945.19 16
1148.38 1951.93 4
1129.07 1967.3 17
1125.29 1974.41 21
1057.25 1997.44 17
1136.21 1982.88 24
1069.34 1997.2 8
1138.74 1994.19 7
1176.28 2000.0 0
1285.98 2179.71 16
1325.42 2182.62 9
1403.88 2195.56 1
1300.33 2183.7 15
1356.96 2199.77 23
1291.3 2183.54 24
1376.87 2218.63 23
1335.18 2206.15 11
1384.33 2237.96 20
1382.43 2245.77 10
1285.64 2184.13 16
1342.74 2232.66 16
1289.94 2189.54 12
1365.05 2272.19 4
1333.58 2246.12 12
1307.86 2219.35 12
1292.94 2201.16 19
1281.56 2183.3 16
1280.11 2180.77 24
1320.16 2285.8 2
1288.95 2209.7 7
1284.64 2200.38 18
1291.25 2245.64 1
1291.96 2290.28 3
1284.68 2285.74 13
1277.57 2309.59 18
1273.65 2254.87 20
1264.02 2288.25 1
1267.38 2238.22 18
1269.59 2216.02 2
1239.01 2297.05 23
1273.57 2194.17 3
1251.85 2235.74 20
1267.03 2201.52 17
1214.85 2277.07 22
1270.07 2192.27 11
1228.61 2238.58 7
1239.69 2220.28 1
1265.12 2192.68 11
1278.49 2180.6 0
1174.05 2252.39 16
1237.97 2204.65 21
1175.38 2233.45 11
1220.69 2205.5 8
1246.6 2191.73 20
1253.52 2187.37 8
1174.28 2203.5 24
1161.15 2198.66 14
1233.62 2184.1 12
1268.02 2180.07 19
1170.76 2176.25 4
1277.61 2179.51 9
1216.81 2169.66 18
1268.83 2177.27 5
1250.52 2171.16 20
1219.41 2157.79 23
1216.09 2151.9 9
1195.1 2136.13 10
1227.44 2148.46 17
1271.4 2174.04 9
1260.67 2164.8 0
1194.24 2103.31 13
1213.0 2112.01 12
1234.47 2127.59 7
1265.71 2161.41 4
1221.53 2092.38 10
1266.0 2156.1 8
1229.82 2079.2 24
1231.58 2065.0 20
1244.85 2079.21 12
1245.43 2056.03 17
1268.58 2126.9 20
1262.51 2060.64 0
1275.79 2131.46 21
1278.58 2113.81 22
1283.28 2102.98 7
1287.84 2106.11 0
1289.44 2124.08 23
1294.95 2116.56 24
1291.4 2141.86 1
1282.56 2172.03 21
1303.91 2126.55 19
1326.05 2093.06 15
1346.15 2072.5 11
1308.89 2138.61 22
1283.24 2175.26 9
1359.93 2092.77 17
1317.8 2143.3 19
1356.99 2114.8 7
1368.99 2113.91 13
1321.37 2152.88 4
1372.83 2127.85 9
1333.34 2154.14 13
1326.78 2160.83 13
1308.04 2170.38 0
1381.05 2153.39 24
1299.34 2175.91 15
1384.84 2166.28 4
1375.31 2173.63 23
1387.14 2179.71 10
1316.91 2640.61 24
1313.39 2641.71 21
1399.67 2651.96 6
1320.57 2645.08 23
1406.89 2665.12 12
1358.58 2658.45 15
1335.13 2654.56 14
1343.01 2660.15 10
1382.89 2681.21 11
1348.49 2669.38 3
1358.13 2678.85 21
1335.16 2668.57 17
1328.87 2667.28 8
1308.7 2653.83 2
1334.87 2679.18 11
1356.28 2705.18 24
1331.19 2684.13 4
1331.14 2688.99 21
1297.71 2647.82 0
1338.82 2713.18 24
1302.95 2658.98 13
1333.86 2723.56 7
1300.09 2657.97 1
1314.14 2698.59 2
1322.12 2734.98 21
1321.88 2755.08 2
1318.21 2768.48 14
1307.43 2742.32 10
1298.04 2699.8 7
1295.27 2709.06 12
1292.29 2660.49 11
1287.62 2715.29 22
1289.14 2669.2 7
1275.28 2740.3 17
1271.38 2733.36 21
1277.24 2694.45 7
1271.67 2701.59 12
1254.08 2736.17 12
1277.7 2672.53 21
1230.35 2757.68 9
1252.29 2707.6 7
1267.51 2677.69 2
1257.11 2687.54 15
1237.85 2705.61 22
1213.99 2724.53 13
1281.69 2651.05 4
1235.09 2690.28 8
1208.39 2705.93 20
1233.28 2681.79 9
1193.39 2702.01 19
1178.9 2702.93 8
1174.98 2697.23 5
1227.34 2667.87 22
1215.59 2668.11 12
1229.94 2659.32 3
1279.16 2643.85 24
1185.79 2660.56 20
1166.76 2657.31 2
1253.54 2643.7 11
1259.14 2641.49 23
1281.19 2640.31 23
1177.15 2631.45 18
1254.54 2635.56 18
1260.7 2634.65 0
1195.08 2617.0 7
1245.8 2626.63 21
1187.58 2603.09 0
1274.55 2633.08 14
1271.95 2630.68 19
1182.03 2580.0 3
1262.15 2621.78 5
1201.11 2577.08 21
1196.49 2566.05 14
1247.44 2601.6 20
1198.88 2550.57 23
1271.34 2617.95 13
1217.24 2551.12 12
1280.8 2625.04 18
1227.62 2544.46 2
1286.68 2630.83 6
1251.93 2564.14 6
1286.99 2628.66 19
1283.84 2618.96 13
1284.11 2615.96 22
1254.25 2505.99 7
1279.51 2583.45 13
1269.72 2508.85 7
1277.17 2511.69 0
1288.58 2580.43 12
1291.76 2580.42 8
1293.62 2613.76 4
1296.94 2593.26 10
1295.21 2622.44 21
1301.99 2593.57 4
1296.83 2623.91 21
1316.84 2563.07 12
1333.61 2530.34 0
1313.15 2593.13 3
1345.72 2533.84 13
1330.45 2573.61 21
1318.38 2600.1 4
1336.42 2579.22 2
1357.69 2558.92 5
1359.22 2565.51 17
1346.36 2586.09 7
1333.01 2603.73 9
1360.74 2584.74 6
1371.82 2582.37 13
1318.74 2623.42 0
1402.32 2576.59 1
1409.02 2580.68 7
1329.78 2623.87 0
1385.83 2604.47 3
1315.14 2633.2 23
1338.12 2628.29 19
1390.57 2619.59 14
1322.98 2635.74 5
1381.35 2631.19 22
1377.52 2636.11 12
1350.26 2640.61 11
989.93 2731.84 1
901.11 2732.17 15
974.59 2740.3 21
959.09 2742.11 3
975.5 2749.14 6
972.75 2752.91 14
1019.18 2772.62 15
953.72 2754.67 24
955.94 2759.33 14
1015.14 2793.77 11
990.15 2787.46 5
929.97 2754.93 22
929.06 2757.02 15
974.14 2796.86 23
902.1 2738.51 16
949.06 2786.84 2
965.38 2811.36 1
904.27 2743.74 6
939.19 2794.0 18
898.4 2737.52 18
949.11 2827.88 21
946.74 2836.19 12
930.61 2814.47 23
919.08 2797.12 17
930.64 2846.3 4
901.04 2756.26 7
912.13 2818.31 10
903.78 2793.38 3
899.42 2781.98 17
899.97 2862.94 10
894.68 2738.95 2
887.58 2840.78 19
893.31 2744.16 1
886.13 2781.72 21
866.04 2857.72 20
