11 1240 7 5 3500 1000 40 40
4475.7 2003.78
1999.49 2031.89
1546.72 2837.32
1713.31 1299.15
1885.65 2464.35
1450.56 2892.75
1602.5 1201.88
1276.51 832.29
2002.29 2659.86
1562.94 940.23
1499.94 909.1
1930.73 1242.55
1682.73 2000.0 10
1724.41 2007.17 24
1708.11 2012.09 3
1674.38 2011.03 24
1707.63 2024.54 8
1650.76 2010.2 0
1635.54 2005.62 21
1629.1 2003.25 19
1643.95 2013.24 10
1714.81 2067.65 11
1691.18 2058.08 9
1693.81 2069.51 10
1684.2 2069.21 21
1636.4 2017.44 23
1663.74 2061.77 6
1666.62 2077.54 0
1653.06 2063.52 20
1637.83 2038.0 12
1641.5 2059.61 7
1645.04 2094.12 14
1629.07 2037.53 24
1629.08 2068.07 17
1624.36 2073.66 22
1621.96 2020.76 2
1619.61 2027.82 2
1604.3 2095.4 1
1599.3 2087.66 19
1617.47 2016.06 5
1595.24 2064.73 8
1603.38 2038.14 14
1611.49 2019.0 1
1571.85 2072.08 10
1555.48 2082.16 24
1583.0 2042.24 7
1588.4 2031.73 24
1603.72 2015.34 11
1536.6 2059.16 1
1579.73 2025.36 15
1584.54 2019.03 16
1606.42 2006.81 5
1544.54 2025.82 20
1556.79 2016.72 17
1566.82 2010.03 21
1562.97 2006.39 14
1515.51 2003.8 20
1575.89 1998.33 23
1508.23 1987.79 22
1545.11 1986.1 0
1598.83 1993.89 0
1535.58 1971.23 9
1571.24 1978.8 18
1581.31 1979.37 20
1577.46 1973.31 5
1577.41 1968.76 24
1535.36 1930.42 24
1582.29 1962.68 7
1601.61 1977.38 5
1555.52 1917.89 14
1568.51 1923.22 1
1585.97 1939.11 17
1597.65 1950.77 1
1590.12 1923.36 21
1587.55 1898.1 21
1616.48 1975.71 23
1605.14 1908.86 10
1614.03 1927.28 11
1619.53 1933.45 4
1624.89 1896.7 3
1633.6 1880.88 16
1634.65 1927.68 16
1623.72 1997.16 0
1645.87 1926.28 16
1649.6 1931.7 18
1630.93 1983.33 18
1670.22 1916.05 11
1648.8 1960.92 23
1626.76 1995.16 0
1641.69 1978.92 13
1639.41 1983.94 5
1699.76 1934.61 16
1680.98 1957.29 1
1664.55 1973.71 20
1655.43 1982.56 17
1659.73 1983.47 18
1633.65 1996.1 2
1626.11 1999.12 4
1712.77 1980.71 8
1710.91 1987.51 12
1672.09 1996.53 16
1624.38 2000.0 10
1680.67 2436.69 22
1686.03 2437.15 16
1725.38 2443.21 4
1794.68 2461.45 17
1735.03 2452.8 21
1783.39 2474.96 17
1716.88 2453.54 24
1731.83 2464.88 8
1763.51 2489.92 7
1743.11 2483.59 0
1707.49 2460.55 16
1718.59 2475.09 9
1729.09 2492.81 1
1708.73 2474.9 15
1692.59 2456.56 23
1692.71 2460.2 24
1717.45 2517.05 23
1688.65 2460.23 11
1686.08 2457.95 20
1687.34 2470.25 10
1698.27 2553.88 16
1689.98 2555.2 16
1680.52 2494.26 12
1678.11 2462.81 4
1672.94 2489.49 12
1659.06 2540.65 12
1661.3 2503.82 19
1643.93 2538.74 16
1637.78 2533.74 24
1634.68 2523.5 2
1624.32 2527.28 7
1643.85 2486.86 18
1666.63 2452.33 1
1615.13 2504.56 3
1591.66 2517.1 13
1617.24 2486.08 18
1655.02 2453.44 20
1583.38 2492.94 1
1580.12 2485.79 18
1576.86 2478.67 2
1603.92 2461.54 23
1570.32 2464.23 3
1652.0 2441.59 20
1610.89 2443.98 17
1560.37 2440.89 22
1560.19 2432.47 11
1583.92 2426.53 7
1610.16 2424.32 1
1606.47 2418.27 11
1634.78 2421.98 0
1654.76 2426.57 16
1583.05 2389.04 21
1618.9 2401.23 11
1643.96 2412.37 8
1648.73 2412.28 20
1664.23 2422.71 8
1664.22 2420.58 24
1628.61 2374.81 14
1659.6 2408.68 12
1659.72 2404.21 19
1632.98 2346.58 4
1675.07 2426.37 9
1642.02 2329.14 18
1666.47 2388.62 5
1660.34 2339.26 20
1667.32 2338.57 23
1675.16 2354.9 9
1679.61 2430.35 10
1686.42 2358.43 17
1687.98 2383.78 9
1687.97 2400.41 0
1697.9 2377.2 13
1708.39 2362.35 12
1699.49 2394.36 7
1703.53 2393.91 4
1693.72 2415.1 10
1691.64 2420.82 8
1728.98 2380.68 24
1762.93 2354.71 20
1688.46 2429.05 12
1742.95 2389.9 17
1740.29 2398.17 20
1758.48 2394.13 0
1714.41 2420.95 21
1708.96 2425.83 22
1712.59 2427.09 7
1777.79 2415.55 0
1780.34 2422.35 23
1776.79 2429.81 24
1712.93 2436.69 1
1321.85 2452.82 21
1311.65 2458.36 19
1290.32 2461.67 15
1303.63 2468.29 11
1324.39 2478.03 22
1288.85 2475.0 9
1269.71 2473.44 17
1211.15 2454.5 19
1325.36 2506.11 7
1246.64 2473.32 13
1209.48 2454.38 4
1214.19 2457.67 9
1250.79 2485.14 13
1310.57 2537.84 13
1234.62 2478.19 0
1220.4 2466.6 24
1255.64 2507.84 15
1218.82 2467.9 4
1254.19 2519.15 23
1225.76 2482.57 10
1247.89 2525.46 24
1237.12 2513.72 21
1238.55 2526.05 6
1233.91 2525.64 23
1246.05 2578.12 12
1214.69 2483.63 15
1225.68 2546.93 14
1214.07 2502.57 10
1209.06 2477.31 11
1208.61 2498.73 3
1206.52 2473.98 21
1204.81 2482.77 17
1197.87 2527.6 8
1202.79 2475.95 2
1176.55 2585.35 11
1172.97 2571.7 24
1190.21 2501.23 4
1196.88 2477.44 21
1188.65 2491.81 0
1157.86 2544.92 24
1189.98 2480.79 13
1151.24 2535.08 7
1190.1 2474.92 1
1134.88 2538.26 2
1203.43 2456.41 21
1148.61 2508.74 2
1180.03 2475.95 14
1198.57 2459.2 10
1109.22 2520.61 7
1190.9 2462.66 12
1119.49 2500.69 11
1193.88 2459.04 22
1122.04 2488.25 7
1085.8 2496.05 17
1198.06 2455.43 21
1179.35 2459.46 7
1100.55 2472.68 12
1132.39 2462.7 12
