8 1320 2 6 12500 1000 40 80
4543.58 1962.2
1683.89 2729.59
1684.16 1270.67
1198.05 1019.81
1760.92 1351.16
2188.93 2162.63
2060.77 2561.03
2093.14 2495.03
1593.68 957.15
1517.69 2000.0 10
1461.36 2001.97 24
1493.28 2009.08 3
1512.1 2018.35 24
1453.36 2005.5 8
1502.1 2027.49 0
1509.43 2037.63 21
1452.29 2009.73 19
1488.69 2038.44 10
1482.86 2040.19 11
1511.04 2075.88 9
1494.12 2068.79 10
1462.13 2035.95 21
1475.17 2064.71 23
1456.47 2040.27 6
1445.76 2022.93 0
1444.25 2024.72 20
1441.33 2021.05 12
1443.72 2050.42 7
1439.97 2055.5 14
1436.58 2003.88 24
1436.45 2002.03 17
1430.28 2035.25 22
1424.98 2044.14 2
1424.49 2034.61 2
1434.52 2004.8 1
1435.71 2001.74 19
1412.11 2037.74 5
1420.47 2021.01 8
1410.98 2028.37 14
1371.1 2061.75 1
1435.99 2000.53 10
1372.98 2043.23 24
1365.62 2040.39 7
1429.09 2003.54 24
1380.55 2020.98 11
1420.5 2004.62 1
1416.2 2004.12 15
1409.96 2003.2 16
1375.78 2002.42 5
1436.55 2000.0 20
1390.05 1994.41 17
1402.69 1993.16 21
1360.47 1978.23 14
1365.92 1973.55 20
1358.54 1963.47 23
1347.85 1949.51 22
1391.73 1969.5 0
1435.2 1998.84 0
1362.98 1930.59 9
1430.91 1993.66 18
1375.07 1920.01 20
1389.25 1927.11 5
1426.53 1981.34 24
1420.14 1962.78 24
1415.85 1940.81 7
1424.87 1955.42 5
1421.49 1916.17 14
1436.23 1995.77 1
1435.45 1939.53 17
1437.49 1986.05 1
1443.07 1954.18 21
1454.86 1918.08 21
1463.43 1912.9 23
1442.27 1985.84 10
1470.87 1930.48 11
1440.69 1993.22 4
1489.96 1924.76 3
1463.39 1968.0 16
1451.46 1984.9 16
1487.39 1955.88 0
1439.61 1997.82 16
1515.28 1951.06 18
1527.49 1953.03 18
1535.83 1958.34 11
1475.94 1987.06 23
1463.39 1993.5 0
1538.07 1983.73 13
1537.37 1991.97 5
1537.99 2000.0 16
1579.95 2220.84 1
1490.5 2222.87 20
1564.64 2234.38 17
1488.29 2226.57 18
1581.5 2252.73 2
1574.46 2258.9 4
1506.99 2240.22 8
1515.01 2247.7 12
1483.26 2234.57 16
1552.6 2281.27 10
1492.71 2245.97 22
1536.32 2286.07 16
1506.47 2266.5 4
1540.32 2309.33 17
1472.1 2237.48 21
1489.59 2264.39 17
1496.55 2282.03 24
1472.53 2246.88 8
1510.17 2333.81 7
1503.04 2337.2 0
1480.98 2292.88 16
1478.92 2304.67 9
1473.92 2307.83 1
1461.01 2242.61 15
1459.03 2230.15 23
1458.21 2244.01 24
1456.47 2247.37 23
1455.17 2244.61 11
1452.95 2247.75 20
1436.12 2302.1 10
1421.97 2326.63 16
1416.19 2322.05 16
1438.93 2260.5 12
1402.35 2318.25 4
1425.46 2270.63 12
1449.35 2232.98 12
1431.95 2251.58 19
1389.4 2291.13 16
1453.95 2224.99 24
1366.02 2293.63 2
1363.06 2286.61 7
1394.82 2259.02 18
1387.21 2257.63 1
1394.87 2248.73 3
1421.45 2234.36 13
1333.95 2257.44 18
1355.58 2244.11 20
1385.83 2232.48 1
1336.77 2232.47 18
1404.47 2222.56 2
1402.13 2219.05 23
1449.57 2219.98 3
1339.07 2201.72 20
1436.59 2215.87 17
1417.64 2208.82 22
1412.36 2204.02 11
1357.92 2176.79 7
1403.87 2192.63 1
1413.05 2193.58 11
1441.49 2209.08 0
1421.08 2191.35 16
1393.72 2162.81 21
1437.74 2199.66 11
1423.7 2180.58 8
1428.11 2180.8 20
1418.45 2160.52 8
1428.94 2169.5 24
1435.27 2173.81 14
1455.09 2212.51 12
1442.21 2173.54 19
1456.29 2212.56 4
1450.01 2179.89 9
1451.55 2171.91 18
1450.29 2116.51 5
1457.06 2125.1 20
1464.19 2103.16 23
1460.54 2203.33 9
1473.33 2137.18 10
1461.31 2209.58 17
1460.16 2215.77 9
1481.3 2161.38 0
1483.15 2167.04 13
1499.41 2144.65 12
1485.0 2178.26 7
1468.86 2206.41 4
1496.21 2174.53 10
1462.02 2217.12 8
1501.74 2179.69 24
1498.55 2187.3 20
1510.56 2182.57 12
1509.17 2188.33 17
1467.93 2215.64 20
1545.63 2179.41 0
1549.26 2184.54 21
1577.15 2181.9 22
1510.98 2207.25 7
1533.86 2206.33 0
1539.4 2210.53 23
1548.2 2215.15 24
1489.59 2220.84 1
1493.21 2611.32 21
1510.92 2613.19 19
1565.64 2623.85 15
1572.58 2632.01 11
1504.37 2616.87 22
1534.52 2631.07 9
1519.92 2628.08 17
1569.64 2662.44 19
1524.93 2638.96 7
1547.53 2663.51 13
1539.24 2664.09 4
1509.72 2637.91 9
1550.56 2700.32 13
1534.13 2689.65 13
1501.09 2638.91 0
1503.33 2651.17 24
1492.91 2628.88 15
1509.64 2710.87 4
1490.34 2631.49 23
1493.95 2719.16 10
1486.77 2648.41 24
1480.63 2680.28 21
1480.73 2648.81 6
1467.6 2686.64 23
1461.11 2686.44 12
1446.5 2703.76 15
1461.45 2659.35 14
1470.56 2637.39 10
1441.45 2671.15 11
1485.6 2613.43 3
1437.8 2658.15 21
1484.08 2614.07 17
1407.9 2665.38 8
1404.39 2658.58 2
1413.72 2645.83 11
1427.78 2633.66 24
1486.15 2611.71 4
1468.29 2615.19 21
1389.7 2623.04 0
1484.88 2611.42 24
1454.69 2610.01 13
1481.77 2610.63 7
1428.82 2599.49 1
1420.55 2592.18 2
1477.59 2607.61 21
1479.73 2607.68 2
1460.33 2595.87 14
1432.49 2573.96 10
1453.58 2584.11 7
1468.33 2593.25 12
1483.2 2606.55 11
1434.54 2542.52 22
1431.7 2525.5 7
1470.86 2580.62 17
1445.28 2516.12 21
1480.96 2592.69 7
1474.08 2560.51 12
1476.79 2552.04 12
1476.81 2504.04 21
1486.94 2582.59 9
1493.14 2517.14 7
1491.36 2583.82 2
1492.67 2588.13 15
1489.8 2603.87 22
1497.19 2586.93 13
1490.39 2605.46 4
1537.62 2527.13 8
1487.54 2611.27 20
1547.66 2539.32 9
1532.3 2565.63 19
1497.77 2602.4 8
1520.67 2586.82 5
1537.26 2580.36 22
1551.99 2577.98 12
1528.48 2594.11 3
1506.24 2605.15 24
1510.87 2605.64 20
1540.18 2602.87 2
1550.23 2606.32 11
1589.42 2611.32 23
1114.98 2212.55 23
1083.47 2215.33 18
1134.68 2226.37 18
1107.44 2226.88 0
1071.48 2220.11 7
1071.88 2222.36 21
1092.94 2235.52 0
1137.27 2267.79 14
1107.52 2256.14 19
1072.51 2233.41 3
1101.71 2266.81 5
1107.04 2282.61 21
1064.73 2235.44 14
1077.78 2261.73 20
1054.77 2225.27 23
1083.18 2299.89 13
1062.17 2256.97 12
1060.87 2268.16 18
1048.76 2214.35 2
1051.74 2266.66 6
1046.78 2299.44 6
1042.47 2273.16 19
1041.4 2251.85 13
1027.58 2291.7 22
1027.99 2270.94 7
1044.22 2222.23 13
998.44 2304.84 7
1018.41 2258.84 0
1003.55 2270.94 12
1004.54 2261.12 8
1037.56 2222.87 4
992.34 2257.6 10
1020.02 2231.89 21
1033.25 2221.23 4
992.92 2238.54 21
982.77 2237.13 12
982.89 2231.3 0
971.82 2228.0 3
988.83 2219.7 13
1006.34 2214.22 21
961.87 2209.1 4
1036.92 2211.16 2
1028.39 2208.49 5
1023.83 2205.49 17
974.66 2184.92 7
1021.26 2199.8 9
954.29 2158.97 6
977.47 2164.31 13
1024.53 2193.31 0
1020.99 2186.62 1
988.23 2145.96 7
1026.5 2183.96 0
1032.81 2188.4 3
1019.46 2159.0 23
1022.98 2155.0 19
1036.61 2178.69 14
1032.42 2151.68 5
1041.22 2172.22 22
1046.5 2192.41 12
1046.75 2124.07 11
1051.06 2169.89 1
1052.58 2183.48 15
1064.61 2140.12 21
1067.56 2150.59 3
1057.92 2188.84 6
1058.65 2191.95 14
1066.7 2181.99 15
1070.45 2181.58 24
1100.18 2150.69 14
1086.22 2174.08 11
1077.79 2187.09 5
1114.49 2163.81 22
1107.41 2175.89 15
1094.53 2188.75 23
1100.1 2190.88 16
1074.37 2204.03 2
1117.77 2195.7 1
1149.08 2196.41 6
1098.2 2208.59 18
1074.68 2212.55 18
887.75 2557.08 21
938.93 2561.76 12
983.14 2572.76 23
978.54 2579.81 17
949.38 2579.29 4
948.75 2585.05 7
950.39 2592.04 10
874.33 2557.88 3
877.71 2560.16 17
938.29 2605.34 10
921.66 2598.7 2
944.06 2627.05 19
894.8 2581.92 1
915.01 2612.19 21
903.32 2603.35 20
915.45 2632.91 14
876.23 2564.24 21
892.51 2607.67 14
901.48 2649.61 18
872.87 2557.17 12
879.27 2597.15 4
876.48 2598.16 17
873.76 2608.43 3
868.57 2637.85 2
865.83 2613.61 12
855.75 2644.06 17
856.52 2617.33 10
861.18 2590.56 4
832.76 2650.37 21
847.78 2605.65 8
859.75 2578.59 19
850.32 2588.8 1
803.06 2641.93 18
794.64 2639.55 6
818.39 2606.94 5
850.89 2574.5 23
830.39 2586.14 17
782.79 2609.79 11
846.79 2569.96 3
843.93 2568.91 10
837.34 2568.76 19
826.01 2568.9 21
856.1 2560.07 16
844.55 2560.09 7
863.12 2557.43 2
813.73 2555.0 12
851.55 2554.82 6
847.34 2552.53 16
837.31 2548.12 1
824.28 2541.11 0
830.66 2539.83 4
813.86 2527.94 22
866.83 2553.56 14
870.9 2555.75 5
842.38 2532.91 6
833.38 2520.95 10
791.71 2471.53 4
871.04 2554.89 23
814.19 2474.52 13
863.06 2541.01 0
842.8 2498.87 20
836.25 2471.93 18
842.6 2470.3 10
866.06 2532.04 24
854.1 2461.75 12
872.04 2550.58 12
870.48 2512.3 8
874.89 2441.58 11
880.88 2466.32 18
880.76 2507.72 15
878.71 2531.97 24
887.59 2509.45 24
891.35 2509.47 4
922.22 2452.55 24
884.9 2535.63 0
926.37 2475.83 20
932.31 2479.35 23
895.22 2531.77 10
944.75 2486.44 9
961.55 2481.46 5
918.12 2523.7 14
907.67 2535.02 9
922.28 2530.45 22
933.08 2529.93 20
939.63 2532.48 6
931.96 2539.93 12
972.22 2535.72 19
912.07 2551.51 0
991.73 2548.68 22
935.43 2557.08 19
693.36 2411.84 1
711.83 2414.39 4
741.56 2420.77 11
758.46 2428.58 14
723.32 2425.26 14
777.79 2446.72 17
744.0 2440.83 21
737.66 2443.3 17
756.41 2459.04 8
678.56 2416.33 3
708.14 2438.76 0
680.93 2419.69 12
747.8 2484.52 1
740.44 2486.4 20
735.91 2491.04 8
742.28 2511.14 11
725.77 2499.19 21
