13 1420 3 5 12500 1000 40 80
4613.1 2044.65
1077.66 1003.02
1811.48 1415.62
1318.89 2947.79
1729.28 2684.21
1580.04 2814.59
1350.67 2936.5
1927.78 2761.06
1607.38 965.06
1272.59 3168.63
1497.36 3092.08
2183.4 2198.91
2185.48 1813.9
2091.45 1501.26
1685.18 2000.0 10
1717.94 2006.32 24
1711.62 2011.7 3
1672.32 2008.19 24
1742.26 2034.12 8
1722.7 2035.3 0
1665.97 2014.12 21
1675.06 2022.65 19
1653.44 2010.92 10
1715.61 2066.92 11
1652.92 2014.55 9
1707.92 2082.91 10
1660.11 2030.27 21
1674.1 2059.55 23
1655.48 2034.18 6
1667.4 2072.41 0
1662.06 2076.11 20
1660.6 2098.71 12
1646.24 2054.12 7
1640.51 2031.05 14
1637.16 2075.49 24
1638.38 2002.83 17
1626.5 2067.21 22
1637.54 2004.25 2
1606.75 2090.79 2
1599.88 2087.41 1
1599.81 2071.61 19
1603.89 2053.46 5
1637.8 2001.12 8
1625.5 2014.54 14
1566.96 2067.55 1
1636.61 2001.65 10
1611.48 2018.45 24
1633.63 2002.86 7
1584.43 2025.36 24
1573.43 2024.4 11
1628.47 2002.91 1
1630.24 2001.7 15
1607.62 2003.72 16
1572.2 2002.64 5
1595.2 1998.27 20
1612.5 1996.86 17
1632.36 1998.73 21
1555.18 1976.14 14
1542.77 1964.14 20
1607.02 1985.2 23
1548.12 1948.53 22
1622.32 1988.91 0
1597.66 1967.11 0
1594.81 1958.69 9
1566.31 1920.07 18
1621.13 1977.23 20
1587.22 1920.91 5
1625.42 1975.59 24
1629.03 1978.29 24
1636.08 1992.65 7
1631.95 1974.64 5
1637.5 1993.58 14
1628.94 1902.51 1
1638.66 1999.94 17
1644.25 1906.35 1
1647.54 1936.64 21
1641.61 1986.72 21
1650.78 1960.59 23
1660.27 1945.54 10
1670.71 1934.87 11
1661.39 1961.81 4
1650.06 1983.91 3
1654.07 1981.55 16
1676.0 1961.91 16
1686.13 1958.71 0
1720.62 1939.45 16
1650.67 1992.53 18
1666.62 1985.54 18
1687.58 1979.45 11
1717.93 1973.89 23
1677.78 1990.48 0
1687.31 1992.19 13
1747.0 1991.36 5
1639.93 2000.0 16
1815.25 2354.06 1
1769.82 2356.51 20
1817.28 2365.72 17
1832.58 2374.99 18
1764.61 2362.59 2
1793.8 2375.64 4
1749.31 2360.42 8
1825.46 2402.68 12
1778.04 2381.2 16
1785.23 2390.94 10
1736.72 2355.35 22
1777.39 2395.5 16
1797.99 2425.11 4
1775.58 2406.84 17
1759.17 2390.44 21
1778.95 2431.93 17
1764.05 2415.12 24
1739.39 2364.83 8
1769.06 2463.48 7
1748.91 2412.72 0
1747.93 2433.45 16
1741.51 2425.26 9
1735.5 2370.47 1
1731.05 2432.51 15
1730.58 2391.34 23
1731.51 2372.86 24
1717.69 2418.67 23
1710.01 2426.36 11
1705.81 2422.47 20
1696.06 2429.89 10
1701.09 2410.06 16
1708.54 2391.59 16
1675.12 2427.11 12
1726.45 2363.3 4
1718.69 2369.18 12
1713.27 2371.46 12
1664.22 2402.63 19
1706.88 2370.64 16
1629.2 2406.43 24
1648.51 2389.52 2
1703.35 2364.53 7
1695.21 2364.15 18
1638.74 2371.26 1
1696.07 2358.22 3
1703.81 2355.17 13
1668.79 2351.71 18
1666.92 2346.8 20
1696.67 2347.18 1
1668.62 2337.26 18
1692.75 2340.09 2
1714.78 2345.7 23
1648.66 2311.3 3
1694.97 2330.51 20
1708.78 2335.98 17
1671.81 2303.76 22
1683.06 2306.31 11
1716.07 2333.87 7
1719.31 2334.72 1
1712.74 2322.44 11
1713.67 2318.71 0
1694.88 2275.93 16
1712.0 2300.06 21
1721.28 2314.09 11
1711.8 2267.69 8
1720.61 2279.8 20
1728.25 2297.98 8
1731.98 2293.1 24
1735.73 2324.36 14
1742.06 2276.6 12
1752.78 2244.35 19
1747.58 2301.11 4
1743.65 2326.78 9
1768.51 2268.37 18
1773.11 2273.82 5
1789.41 2257.57 20
1766.36 2306.76 23
1804.59 2263.37 9
1802.84 2277.5 10
1748.52 2340.98 17
1808.5 2291.58 9
1826.03 2287.09 0
1771.77 2330.89 13
1759.58 2340.93 12
1749.19 2347.76 7
1836.27 2316.82 4
1847.56 2321.46 10
1793.87 2341.45 8
1811.87 2343.16 24
1763.77 2352.04 20
1780.55 2354.06 12
1333.66 2276.71 17
1220.76 2276.71 20
1267.74 2281.7 0
1268.17 2284.29 21
1279.25 2289.27 22
1311.76 2301.33 7
1283.82 2297.41 0
1317.09 2314.06 23
1287.09 2306.56 24
1257.45 2295.63 1
1322.99 2336.38 21
1273.98 2311.69 19
1244.34 2294.1 15
1255.77 2305.47 11
1315.39 2363.06 22
1313.81 2371.09 9
1277.85 2341.13 17
1241.05 2302.27 19
1255.56 2325.55 7
1286.11 2379.36 13
1237.36 2306.22 4
1236.91 2309.33 9
1238.02 2316.72 13
1240.33 2329.52 13
1226.6 2295.65 0
1228.91 2308.87 24
1222.9 2287.84 15
1230.65 2345.0 4
1222.97 2301.59 23
1221.86 2306.92 10
1220.1 2319.46 24
1216.73 2336.22 21
1214.36 2329.51 6
1207.56 2352.34 23
1218.86 2284.64 12
1219.91 2279.36 15
1205.96 2319.64 14
1197.35 2334.62 10
1162.62 2401.42 11
1219.11 2279.64 3
1159.8 2377.98 21
1208.38 2294.9 17
1174.61 2337.7 8
1151.04 2359.44 2
1147.39 2354.99 11
1198.84 2297.69 24
1134.91 2350.84 4
1214.63 2281.39 21
1177.7 2306.56 0
1106.07 2347.66 24
1127.45 2327.82 13
1168.11 2302.01 7
1192.91 2288.31 1
1165.89 2296.28 2
1163.57 2293.77 21
1089.58 2308.45 2
1192.45 2281.98 14
1108.14 2291.65 10
1106.85 2285.74 7
1181.27 2277.75 12
1103.12 2273.6 11
1085.1 2265.95 22
1155.61 2268.07 7
1173.39 2267.87 17
1157.0 2261.29 21
1146.81 2254.63 7
1142.48 2248.77 12
1154.42 2249.01 12
1113.83 2225.25 21
1180.15 2254.49 9
1102.46 2203.51 7
1160.71 2235.05 2
1211.61 2269.68 15
1199.06 2258.03 22
1164.81 2223.02 13
1142.47 2193.17 4
1202.68 2255.34 8
1139.14 2168.74 20
1212.26 2264.27 9
1150.61 2160.14 19
1208.13 2253.11 8
1185.38 2200.88 5
1181.65 2179.81 22
1211.49 2249.93 12
1205.22 2222.41 3
1217.34 2262.15 24
1200.14 2158.28 20
1212.2 2205.82 2
1214.39 2181.69 11
1219.72 2204.81 23
1225.84 2146.18 23
1228.2 2195.35 18
1229.74 2214.65 18
1241.92 2170.79 0
1243.18 2188.83 7
1240.8 2212.44 21
1224.24 2267.1 0
1275.71 2149.79 14
1226.23 2265.54 19
1249.77 2225.25 3
1280.48 2182.89 5
1239.57 2250.25 21
1249.33 2240.76 14
1234.98 2260.59 20
1232.78 2264.44 23
1286.57 2216.62 13
1250.23 2252.49 12
1230.36 2269.58 18
1329.39 2205.35 2
1254.49 2256.98 6
1281.92 2245.19 6
1299.88 2241.1 19
1304.69 2244.16 13
1270.01 2260.53 22
1299.05 2255.52 7
1333.92 2252.42 13
1293.27 2265.11 7
1262.67 2272.25 0
1254.78 2274.9 12
1266.17 2276.71 8
1160.57 2488.72 4
1118.16 2489.18 10
1115.89 2489.33 21
1202.46 2508.26 4
1175.04 2507.14 21
1200.48 2521.48 12
1184.09 2521.42 0
1184.14 2527.83 3
1154.8 2516.12 13
1169.0 2531.08 21
1195.63 2560.41 4
1195.5 2571.2 2
1182.92 2569.5 5
1173.68 2569.94 17
1169.9 2577.32 7
1118.21 2500.59 9
1148.32 2566.58 6
1153.58 2596.89 13
1124.81 2531.59 0
1128.88 2562.91 1
1116.67 2520.69 7
1111.61 2489.43 0
1112.89 2564.8 3
1109.98 2518.24 23
1107.08 2524.68 19
1104.9 2522.53 14
1083.66 2591.56 5
1086.36 2561.0 22
1105.41 2502.99 12
1072.57 2564.23 11
1055.21 2581.2 1
1050.94 2574.01 15
1045.49 2569.02 21
1073.46 2528.87 3
1069.43 2527.27 6
1049.66 2537.81 14
1029.76 2544.68 15
1037.08 2532.29 24
1062.03 2513.18 14
1013.1 2528.98 11
1062.5 2504.84 5
1044.49 2505.63 22
1016.32 2505.7 15
1025.97 2497.81 23
994.89 2492.83 16
1029.17 2485.81 2
1074.62 2484.79 1
1007.25 2470.11 6
1017.6 2465.02 18
1023.86 2459.88 18
1062.48 2468.64 21
1082.49 2474.36 12
1103.8 2484.18 23
1055.66 2450.47 17
