15 1650 3 4 12500 1000 40 50
4280.67 1738.37
1326.16 2945.31
1970.32 2241.84
1141.66 1010.08
1095.43 2995.44
1822.15 1430.73
1867.95 1503.34
1465.94 1115.18
2191.25 2144.65
2175.41 1758.33
1705.51 1029.3
1839.41 1142.45
1931.82 2756.12
1035.16 800.52
2016.44 2637.84
2200.0 2002.1
1586.86 2000.0 10
1582.55 2004.67 24
1621.52 2014.36 3
1566.76 2011.13 24
1631.4 2031.75 8
1529.24 2006.64 0
1605.6 2038.67 21
1625.94 2055.66 19
1522.05 2007.25 10
1558.45 2031.77 11
1605.58 2071.1 9
1549.87 2034.29 10
1520.06 2010.54 21
1539.7 2033.22 23
1514.4 2006.63 6
1562.14 2074.61 0
1564.36 2089.21 20
1561.11 2097.23 12
1554.75 2100.16 7
1510.58 2004.11 14
1545.12 2116.12 24
1525.65 2068.57 17
1526.93 2101.61 22
1515.39 2057.17 2
1512.23 2067.48 2
1507.16 2116.83 1
1499.49 2119.8 19
1501.44 2052.69 5
1507.38 2007.79 8
1486.35 2081.96 14
1495.22 2039.85 1
1463.52 2108.61 10
1494.88 2028.51 24
1497.44 2020.05 7
1471.57 2056.27 24
1498.92 2013.25 11
1448.62 2069.7 1
1489.69 2019.63 15
1487.75 2019.02 16
1421.13 2069.11 5
1475.08 2023.36 20
1431.22 2046.57 17
1438.8 2036.2 21
1395.84 2049.53 14
1479.29 2010.82 20
1390.4 2034.83 23
1423.82 2019.24 22
1499.82 2001.47 0
1421.0 2008.4 0
1482.11 2000.85 9
1408.14 1996.8 18
1508.4 1999.94 20
1449.98 1990.55 5
1435.47 1983.39 24
1418.42 1973.4 24
1499.3 1996.47 7
1424.43 1962.98 5
1435.11 1961.9 14
1459.84 1970.56 1
1471.35 1974.07 17
1489.02 1984.28 1
1482.45 1976.23 21
1503.97 1994.88 21
1466.06 1950.44 23
1440.4 1909.84 10
1452.73 1915.4 11
1453.82 1904.4 4
1482.59 1946.69 3
1477.75 1925.38 16
1475.3 1902.61 16
1497.94 1959.97 0
1503.43 1973.34 16
1498.08 1923.98 18
1506.04 1962.57 18
1508.46 1965.3 11
1509.13 1997.44 23
1521.91 1884.32 0
1511.74 1984.51 13
1516.88 1967.58 5
1523.75 1952.61 16
1509.85 1997.81 1
1557.27 1894.32 20
1528.52 1963.58 17
1518.21 1985.18 18
1554.3 1936.4 2
1535.58 1967.29 4
1576.85 1926.55 8
1511.38 1997.74 12
1543.72 1970.87 16
1534.43 1981.28 10
1567.51 1962.4 22
1562.55 1970.21 16
1595.7 1958.74 4
1598.92 1964.01 17
1557.37 1984.12 21
1563.65 1985.82 17
1627.5 1977.16 24
1545.99 1995.28 8
1621.44 1992.85 7
1547.76 2000.0 0
1486.07 2199.03 16
1508.14 2201.23 9
1557.2 2211.33 1
1517.92 2208.13 15
1492.8 2203.08 23
1570.0 2236.62 24
1545.94 2232.86 23
1548.88 2241.59 11
1546.22 2247.58 20
1547.43 2257.24 10
1533.09 2252.68 16
1503.75 2226.86 16
1541.83 2285.6 12
1511.34 2250.85 4
1522.65 2284.68 12
1484.31 2208.64 12
1490.95 2233.02 19
1485.21 2220.23 16
1490.97 2273.78 24
1486.57 2300.69 2
1479.43 2252.53 7
1472.86 2275.61 18
1473.21 2239.32 1
1454.25 2298.3 3
1472.56 2221.6 13
1453.47 2259.95 18
1466.27 2225.25 20
1426.64 2281.84 1
1446.57 2243.1 18
1462.43 2218.99 2
1412.6 2262.99 23
1444.71 2227.73 3
1444.39 2223.55 20
1454.21 2213.97 17
1430.18 2222.56 22
